#,город,Страна,Флаг,Год проведения,Начало провождений,Конец провождений игр,Тип игр,Широта,Долгота
1,Афины,Греция,Athens_flag,1986,6 Апрель 1896,15 Апрель 1896,Летние,37.9838,23.7278
2,Париж,Франция,Paris_flag,1900,14 Май 1900,28 Октябрь 1900,Летние,48.8534,2.3488
3,Сент-Луис,США,St_Louis_flag,1904,1 Июль 1904,23 Ноябрь 1904,Не признаны МКО,38.6273,-90.1979
4,Афины,Греция,Athens_flag,1906,22 Апрель 1906,2 май 1906,Летние,,
5,Лондон,Великобритания,London_flag,1908,27 Апрель 1908,31 Октябрь 1908,Летние,51.5085,-0.12574
6,Стокгольм,Швеция,Swenden_flag,1912,5 Май 1912,5 Май 1912,Летние,59.3326,18.0649
7,Берлин,Германия,Germany_flag,,Отменены из-за 1 мировой войны,/,Летние,52.5244,13.4105
8,Антверпен,Бельгия,Belgium_flag,1920,20 Апрель 1920,12 Сентябрь 1920,Летние,51.2199,4.40346
9,Шамони,Франция,Chamonix_flag,1924,25 Январь 1924,4 Февраль 1924,Зимние,45.92375,6.86933
10,Париж,Франция,France_flag,1924,4 Май 1924,27 Июль 1924,Летние,,
11,Санкт-Мориц,Швейцария,St_ Moritz_flag,1928,11 Февраль 1928,19 Февраль 1928,Зимние,46.490797,9.835508
12,Амстердам,Нидерланды,Amsterdam_flag,1928,17 Май 1928,12 Август 1928,Летние,52.374,4.88969
13,Лейк-Плэсид,США,Lake Placid_flag,1932,4 Февраль 1932,15 Февраль 1932,Зимние,27.2930999,-81.3628502
14,Лос-Аджелес,США,Los Angeles_flag,1932,30 Июль 1932,14 Август 1932,Летние,-32.83369,-70.59827
15,Гармиш-Партенкихен,Германия,Garmisch-Partenkihen_flag,1936,6 Февраль 1936,16 Февраль 1936,Зимние,47.4916945,11.0954984
16,Берлин,Германия,Berlin_flag,1936,1 Август 1936,16 Август 1936,Летние,,
17,Саппоро,Япония,Sapporo_flag,1940,Отменены из-за 2 мировой,/,Летние,43.076,141.378
18,Токио,Япония,Tokyo_flag,1940,Отменены из-за 2 мировой,/,Летние,35.6895,139.692
19,Корти́на-д’Ампе́ццо,Италия,Cortina d'Ampezzo_flag,1944,Отменены из-за 2 мировой,,Зимние,46.54047,12.13565
20,Лондон,Великобритания,London_flag,1944,Отменены из-за 2 мировой,/,Летние,,
21,Санкт-Мориц,Швейцария,St. Moritz,1948,30 Январь 1948,8 Февраль 1948,Зимние,,
22,Лондон,Великобритания,London_flag,1948,29 Июль 1948,14 Август 1948,Летние,,
23,Осло,Норвегия,Norway_flag,1952,14 Февраль 1952,25 Февраль 1952,Зимние,59.9127,10.7461
24,Хельсинки,Финляндия,Finland_flag,1952,19 Июль 1952,3 Август 1952,Летние,60.1695,24.9354
25,Корти́на-д’Ампе́ццо,Италия,Cortina-d'ampezzo_flag,1956,26 Январь 1956,5 Февраль 1956,Зимние,,
26,Мельбурн,Австралия,Melburn_flag,1956,22 Ноябрь 1956,8 Декабрь 1956,Зимние,-37.814,144.963
